	sample	tool	precision	recall	f1
0	SAMEA3357080	0.pbf.uni	0.6645296647634462	0.9810182870442066	0.7923388105465539
1	SAMN07312490	0.pbf.uni	0.9477835272314898	0.9896216544601573	0.9682508451535586
2	SAMEA3357223	0.pbf.uni	0.27770297482012224	0.9868103466689451	0.433431841636176
3	SAMN04014852	0.pbf.uni	0.9528994814327227	0.7904939484242596	0.8641322843472865
4	SAMN03024573	0.pbf.uni	0.9834409407966795	0.9896881798404641	0.9865546704448525
5	SAMN04014855	0.pbf.uni	0.9734454501045606	0.8888226243754291	0.9292113756391985
6	SAMN02786856	0.pbf.uni	1.0	0.9882257667542654	0.9940780199901766
7	SAMN16357501	0.pbf.uni	0.333702797737349	1.0	0.5004155323112194
8	SAMN16357457	0.pbf.uni	0.46755324971374856	0.9532238524700498	0.6273790719768723
9	SAMN16357468	0.pbf.uni	0.9669653583520124	0.9850962149790192	0.9759465864623766
10	SAMN16357450	0.pbf.uni	0.9900496904031078	1.0	0.9949999692746985
11	SAMN11056346	0.pbf.uni	0.9956645356757277	1.0	0.9978275585666985
12	SAMN16357466	0.pbf.uni	0.9598068656892186	0.9861816949808818	0.9728155455690234
13	SAMN16357459	0.pbf.uni	0.0	0.0	0.0
14	SAMN16357461	0.pbf.uni	0.9832435094900843	0.9710263336859604	0.9770967335698348
15	SAMN04014847	0.pbf.uni	0.97704969595303	0.9696352764906634	0.9733283664190172
16	SAMEA3357328	0.pbf.uni	0.9944185135620328	1.0	0.997201446737476
17	SAMN16357467	0.pbf.uni	0.9521008976816611	0.868319509352404	0.9082822639588801
18	SAMN16357458	0.pbf.uni	0.9848194280940266	0.9908445289254619	0.9878227912590735
19	SAMN16357451	0.pbf.uni	0.974446460670807	0.9556878472657392	0.9649759982452144
20	SAMN16357456	0.pbf.uni	0.9351608816822904	0.9844735185652763	0.9591838148927102
21	SAMN11056490	0.pbf.uni	0.8652486820994728	0.7398258947294156	0.7976369318145803
22	SAMN10163228	0.pbf.uni	0.09115870088272575	0.9767110894249439	0.16675387740686456
23	SAMN07312483	0.pbf.uni	0.7916883361693032	0.9646270863538768	0.8696433490542492
24	SAMEA3357077	0.pbf.uni	0.9673138566600467	0.9838209921795925	0.9754975969747245
25	SAMEA3357272	0.pbf.uni	0.9670086538838658	0.9838392421226575	0.975351346571586
26	SAMN16357470	0.pbf.uni	0.7491593221829052	0.9893382352941177	0.852658042083408
27	SAMN16357448	0.pbf.uni	1.0	0.9912012417454238	0.995581180811808
28	SAMN04014858	0.pbf.uni	1.0	0.4890496343208172	0.6568614276499677
29	SAMN04014860	0.pbf.uni	1.0	1.0	1.0
30	SAMN04014856	0.pbf.uni	1.0	0.4044983725305004	0.5760040459167085
31	SAMN03024583	0.pbf.uni	0.5589108212596544	0.8918588680597344	0.6871794690290544
32	SAMN02991226	0.pbf.uni	0.9931976094456052	0.6636925344736337	0.7956808012471802
33	SAMN16357245	0.pbf.uni	0.9902996495038752	0.9967950310559006	0.9935367242830964
34	SAMN16357453	0.pbf.uni	0.9801647270965486	0.9672113500147226	0.9736449575144859
35	SAMN11056345	0.pbf.uni	0.9682415613135863	0.9854558658846226	0.9767728747620003
36	SAMN16357454	0.pbf.uni	0.9952607060470877	0.9986445288048887	0.9969497461118817
37	SAMN16357462	0.pbf.uni	0.0	0.0	0.0
38	SAMN16357465	0.pbf.uni	0.9364650788424249	0.8604121146929309	0.896829123016012
39	SAMN16357464	0.pbf.uni	0.9891055567031605	0.9542206226409831	0.9713499773810274
40	SAMN16357463	0.pbf.uni	0.9784205908160281	0.9352026838132513	0.9563236134934248
41	SAMN16357455	0.pbf.uni	0.5508650604213958	0.9950584298517529	0.709146248869346
42	SAMN16357452	0.pbf.uni	0.9993841819109763	0.988815484711018	0.9940717432347388
43	SAMN11056344	0.pbf.uni	0.9847427301261618	0.993784973007617	0.9892431891934999
44	SAMD00056131	0.pbf.uni	0.963998777614574	0.5738757401658441	0.7194546832351145
45	SAMEA3357268	0.pbf.uni	0.9621559659638058	0.9856049441407179	0.9737393046228923
46	SAMN07312488	0.pbf.uni	0.5517355139744274	0.9081563801274762	0.6864373029032154
47	SAMN16357205	0.pbf.uni	0.1818238613882005	1.0	0.3077004405286344
48	SAMN03996301	0.pbf.uni	0.9724068115260855	0.9918244675947266	0.982019661716247
49	SAMEA3357080	0.pbf.ske	0.6565753539984432	0.948794730708648	0.7760892545852439
50	SAMN07312490	0.pbf.ske	0.7664935528207065	0.9949257381920593	0.8658973678221952
51	SAMEA3357223	0.pbf.ske	0.23190017566176024	0.9906022624949544	0.3758206634416033
52	SAMN04014852	0.pbf.ske	0.9865579406885422	0.6573900904391039	0.7890193626227826
53	SAMN03024573	0.pbf.ske	1.0	0.9949379576550819	0.9974625565043295
54	SAMN04014855	0.pbf.ske	1.0	0.7051205003361378	0.8270623691371188
55	SAMN02786856	0.pbf.ske	1.0	1.0	1.0
56	SAMN16357501	0.pbf.ske	0.2678960449203768	1.0	0.42258361163544844
57	SAMN16357457	0.pbf.ske	0.6724697371520627	0.8880195877081779	0.7653577492886527
58	SAMN16357468	0.pbf.ske	0.9797872965509137	0.9628204589833498	0.9712297831445236
59	SAMN16357450	0.pbf.ske	0.9901050097201096	1.0	0.9950279054464156
60	SAMN11056346	0.pbf.ske	1.0	0.9952178895179314	0.997603213911026
61	SAMN16357466	0.pbf.ske	0.9684226661897706	0.9674798823018949	0.9679510446781151
62	SAMN16357459	0.pbf.ske	0.0	0.0	0.0
63	SAMN16357461	0.pbf.ske	0.9757548886918374	0.9784170305165967	0.9770841463044184
64	SAMN04014847	0.pbf.ske	0.9916351575195055	0.8644085235983496	0.9236613245474836
65	SAMEA3357328	0.pbf.ske	0.9944215829282729	0.9908475001276985	0.992631324314769
66	SAMN16357467	0.pbf.ske	0.9612156407780205	0.8434567479952226	0.8984941793716811
67	SAMN16357458	0.pbf.ske	0.9761421674945777	0.998620979247885	0.9872536347425724
68	SAMN16357451	0.pbf.ske	0.9762456523415464	0.9968173982230474	0.9864242816925668
69	SAMN16357456	0.pbf.ske	0.9652413577169788	0.8232598834124522	0.8886149691650673
70	SAMN11056490	0.pbf.ske	0.8811559296676559	0.8344114396026965	0.8571468552717328
71	SAMN10163228	0.pbf.ske	0.07871497031023846	0.9978354759424277	0.14591901408190294
72	SAMN07312483	0.pbf.ske	0.9853828273177132	0.9638078386128098	0.9744759295262464
73	SAMEA3357077	0.pbf.ske	0.7971750146506257	0.9847425112472348	0.8810869351936609
74	SAMEA3357272	0.pbf.ske	0.9662160626542606	0.979391038119438	0.9727589422081376
75	SAMN16357470	0.pbf.ske	0.9506687510856349	0.9460584955590896	0.9483580203934072
76	SAMN16357448	0.pbf.ske	1.0	0.9895676514324913	0.9947564745737612
77	SAMN04014858	0.pbf.ske	0.851767330130405	0.49076618882847256	0.6227309791130903
78	SAMN04014860	0.pbf.ske	1.0	0.9970535854591168	0.9985246191878192
79	SAMN04014856	0.pbf.ske	0.9911326053425592	0.5789959255469999	0.7309742213842864
80	SAMN03024583	0.pbf.ske	0.9543366630561239	0.8645856521758882	0.9072468673501249
81	SAMN02991226	0.pbf.ske	0.9404820548909218	0.46638321880062	0.623549470139838
82	SAMN16357245	0.pbf.ske	0.9961769443394913	0.9940716560667546	0.9951231867144086
83	SAMN16357453	0.pbf.ske	0.9793972551805645	0.8640827599942593	0.9181333959912424
84	SAMN11056345	0.pbf.ske	0.9690100669214964	0.9137574112610577	0.940573002770168
85	SAMN16357454	0.pbf.ske	0.995277766598248	1.0	0.9976332952329725
86	SAMN16357462	0.pbf.ske	0.0	0.0	0.0
87	SAMN16357465	0.pbf.ske	0.9944482005408779	0.9801433981123734	0.9872439842139061
88	SAMN16357464	0.pbf.ske	0.9895563455242915	0.9566255703329773	0.9728123519191281
89	SAMN16357463	0.pbf.ske	0.9321835857169565	0.9700089162681365	0.9507201703304123
90	SAMN16357452	0.pbf.ske	1.0	0.9517089412584353	0.9752570387311813
91	SAMN11056344	0.pbf.ske	0.9878954837632523	0.9833501575733701	0.9856175803294769
92	SAMD00056131	0.pbf.ske	0.8816587844864224	0.5621281306212813	0.6865351101096696
93	SAMEA3357268	0.pbf.ske	0.9819370538065159	0.957154275079867	0.9693872948727992
94	SAMN16357205	0.pbf.ske	0.17771580939974355	1.0	0.3017974421016246
95	SAMN03996301	0.pbf.ske	0.9785427673983695	1.0	0.9891550322008732
96	SAMEA3357080	0.pbf.panstar.uni	0.9830022112728594	0.9775990573128567	0.9802931891092853
97	SAMN07312490	0.pbf.panstar.uni	0.9570244026732732	0.9686394044190071	0.9627968745174341
98	SAMEA3357223	0.pbf.panstar.uni	0.24945186764852886	0.9772472130120357	0.3974505993905223
99	SAMN04014852	0.pbf.panstar.uni	0.9808903451981432	0.8099108337697096	0.8872383228762075
100	SAMN03024573	0.pbf.panstar.uni	0.9818740741115263	0.9985653830530088	0.9901493907102431
101	SAMN04014855	0.pbf.panstar.uni	0.9997312848672489	0.9133794811308167	0.9546065585657949
102	SAMN02786856	0.pbf.panstar.uni	1.0	0.9646400038618426	0.9820017936778996
103	SAMN16357501	0.pbf.panstar.uni	0.0609842981671882	1.0	0.11495796549022706
104	SAMN16357457	0.pbf.panstar.uni	0.7871386419300715	0.9792194809868447	0.8727352425482174
105	SAMN16357468	0.pbf.panstar.uni	0.9865748766317561	0.9769759393630266	0.9817519455038469
106	SAMN16357450	0.pbf.panstar.uni	0.9846384832053207	0.9956794873939738	0.9901282064612728
107	SAMN11056346	0.pbf.panstar.uni	0.9871384989474395	0.999988596126104	0.993521998861322
108	SAMN16357466	0.pbf.panstar.uni	0.9096770762162317	0.9623576563669967	0.935276129102817
109	SAMN16357459	0.pbf.panstar.uni	0.0	0.0	0.0
110	SAMN16357461	0.pbf.panstar.uni	0.9935477838040022	0.9956892512416831	0.9946173648490522
111	SAMN04014847	0.pbf.panstar.uni	0.9865710480483557	0.8938973132732322	0.9379505950143081
112	SAMEA3357328	0.pbf.panstar.uni	0.9715006917530212	1.0	0.9855443579775578
113	SAMN16357467	0.pbf.panstar.uni	0.9616926564919266	0.9138439509481303	0.9371579454329295
114	SAMN16357458	0.pbf.panstar.uni	0.9908849964302829	0.9920007049562339	0.9914425368058988
115	SAMN16357451	0.pbf.panstar.uni	0.9670951783723523	0.9541437342373115	0.9605758022064056
116	SAMN16357456	0.pbf.panstar.uni	0.9574668841177978	0.9807614595961489	0.9689741890607056
117	SAMN11056490	0.pbf.panstar.uni	0.8586999546248829	0.7255249033394783	0.7865148668066763
118	SAMN10163228	0.pbf.panstar.uni	0.3093101377210381	0.9406785960813465	0.46554247768308804
119	SAMN07312483	0.pbf.panstar.uni	0.9934689534502409	0.970318606864886	0.9817573248306604
120	SAMEA3357077	0.pbf.panstar.uni	0.6697981576921094	0.9766505167488712	0.7946299535265469
121	SAMEA3357272	0.pbf.panstar.uni	0.973071655611541	0.9806487995303181	0.9768455342943622
122	SAMN16357470	0.pbf.panstar.uni	0.9527586994326266	0.9875067818766409	0.9698215901329224
123	SAMN16357448	0.pbf.panstar.uni	0.9850985608790528	0.9930197742448038	0.989043307635838
124	SAMN04014858	0.pbf.panstar.uni	0.6378106531534407	0.5435676522420207	0.5869300929705348
125	SAMN04014860	0.pbf.panstar.uni	1.0	1.0	1.0
126	SAMN04014856	0.pbf.panstar.uni	0.9931083559393268	0.8684435831791548	0.9266016821701109
127	SAMN03024583	0.pbf.panstar.uni	0.9463889580714853	0.8594670510015149	0.9008360830624954
128	SAMN02991226	0.pbf.panstar.uni	0.96220526005142	0.7543764705882353	0.8457098139900907
129	SAMN16357245	0.pbf.panstar.uni	0.9923784785147598	0.9892064129262113	0.9907899068436143
130	SAMN16357453	0.pbf.panstar.uni	0.9790608815510758	0.9790112696610994	0.9790360749775766
131	SAMN11056345	0.pbf.panstar.uni	0.9742689016204469	0.973454580966113	0.9738615710642576
132	SAMN16357454	0.pbf.panstar.uni	0.9145390129904692	0.9951359006728294	0.9531366808886848
133	SAMN16357462	0.pbf.panstar.uni	0.0	0.0	0.0
134	SAMN16357465	0.pbf.panstar.uni	0.9938112740473513	0.8908063861453118	0.9394939336969665
135	SAMN16357464	0.pbf.panstar.uni	0.9851525650123137	0.9823642039542143	0.983756408653245
136	SAMN16357463	0.pbf.panstar.uni	0.9843581445523193	0.9713494257183812	0.9778105202913948
137	SAMN16357452	0.pbf.panstar.uni	0.9879449562151712	0.9819969939166586	0.9849619955486499
138	SAMN11056344	0.pbf.panstar.uni	0.8847203035654957	0.9826655272204634	0.9311242799565673
139	SAMD00056131	0.pbf.panstar.uni	0.7880623020063358	0.9090405252323471	0.8442394384520099
140	SAMEA3357268	0.pbf.panstar.uni	0.980151437565146	0.9835080855503391	0.981826892657721
141	SAMN07312488	0.pbf.panstar.uni	0.9801056292503814	0.9216070657889138	0.9499566106834836
142	SAMN16357205	0.pbf.panstar.uni	0.15119400141998718	1.0	0.262673365624718
143	SAMN03996301	0.pbf.panstar.uni	0.9249749751811467	0.967207818779371	0.9456200859937925
144	SAMEA3357080	0.pbf.panstar.ske	0.9859016715972427	0.9807132355749035	0.9833006093716162
145	SAMN07312490	0.pbf.panstar.ske	0.9654463403562178	0.985495965885688	0.9753681291918019
146	SAMEA3357223	0.pbf.panstar.ske	0.25752701986281096	0.9947110552763819	0.4091314244081652
147	SAMN04014852	0.pbf.panstar.ske	0.9861413450606784	0.8105154885605943	0.889744573503949
148	SAMN03024573	0.pbf.panstar.ske	0.9741954503021668	0.9930036309002128	0.9835096290968615
149	SAMN04014855	0.pbf.panstar.ske	1.0	0.9041665132475238	0.9496716878036923
150	SAMN02786856	0.pbf.panstar.ske	0.9854500462027597	0.9935259750513185	0.9894715322498211
151	SAMN16357501	0.pbf.panstar.ske	0.06061805280734276	1.0	0.11430703568903668
152	SAMN16357457	0.pbf.panstar.ske	0.7943696011882272	0.9621311346062805	0.870239004303362
153	SAMN16357468	0.pbf.panstar.ske	0.9938647561841804	0.9637246129233439	0.9785626572833551
154	SAMN16357450	0.pbf.panstar.ske	0.9854340512549886	0.9972463169489192	0.9913049969827739
155	SAMN11056346	0.pbf.panstar.ske	0.9703096892037749	0.9987864215959981	0.9843421425743798
156	SAMN16357466	0.pbf.panstar.ske	0.9263453597283242	0.9577677339116982	0.9417945228463301
