sample,metric,TP,FP,FN,prec,rec,f1
SAMN16357468,pangenome_mix,180652,16156,6955,0.918,0.963,0.94
SAMN16357468,pangenome_skes,178974,17834,5421,0.909,0.971,0.939
SAMN16357468,pangenome_uni,177481,19327,4850,0.902,0.973,0.936
SAMN16357468,skesa,185748,2899,4462,0.985,0.977,0.981
SAMN16357468,unicycler,183857,177756,4167,0.508,0.978,0.669
SAMN16357468,pan_ske_diff,295,9120,184100,0.031,0.002,0.003
SAMN16357468,pan_uni_diff,0,7238,182331,0.0,0.0,0.0
SAMN16357468,pan_ass_diff,295,390,187312,0.431,0.002,0.003
SAMN16357457,pangenome_mix,246175,216784,16199,0.532,0.938,0.679
SAMN16357457,pangenome_skes,237582,225377,15898,0.513,0.937,0.663
SAMN16357457,pangenome_uni,236904,226055,13186,0.512,0.947,0.664
SAMN16357457,skesa,271948,425545,9576,0.39,0.966,0.556
SAMN16357457,unicycler,266872,909225,5002,0.227,0.982,0.369
SAMN16357457,pan_ske_diff,2842,142641,250638,0.02,0.011,0.014
SAMN16357457,pan_uni_diff,1018,28648,249072,0.034,0.004,0.007
SAMN16357457,pan_ass_diff,1093,3430,261281,0.242,0.004,0.008
SAMN11056346,pangenome_mix,171819,0,3835,1.0,0.978,0.989
SAMN11056346,pangenome_skes,171817,2,3697,1.0,0.979,0.989
SAMN11056346,pangenome_uni,171819,0,3560,1.0,0.98,0.99
SAMN11056346,skesa,172585,0,3697,1.0,0.979,0.989
SAMN11056346,unicycler,172586,0,3560,1.0,0.98,0.99
SAMN11056346,pan_ske_diff,0,2,175514,0.0,0.0,0.0
SAMN11056346,pan_uni_diff,0,0,175379,0.0,0.0,0.0
SAMN11056346,pan_ass_diff,0,0,175654,0.0,0.0,0.0
SAMN16357450,pangenome_mix,230486,2382,10694,0.99,0.956,0.972
SAMN16357450,pangenome_skes,230101,2767,9578,0.988,0.96,0.974
SAMN16357450,pangenome_uni,228986,3882,10106,0.983,0.958,0.97
SAMN16357450,skesa,231744,0,10368,1.0,0.957,0.978
SAMN16357450,unicycler,240062,0,1471,1.0,0.994,0.997
SAMN16357450,pan_ske_diff,0,1671,239679,0.0,0.0,0.0
SAMN16357450,pan_uni_diff,0,2596,239092,0.0,0.0,0.0
SAMN16357450,pan_ass_diff,0,0,241180,0.0,0.0,0.0
SAMN16357451,pangenome_mix,220333,7242,20479,0.968,0.915,0.941
SAMN16357451,pangenome_skes,215443,12132,19248,0.947,0.918,0.932
SAMN16357451,pangenome_uni,214745,12830,18004,0.944,0.923,0.933
SAMN16357451,skesa,234917,0,6395,1.0,0.973,0.987
SAMN16357451,unicycler,233743,2474742,5627,0.086,0.976,0.159
SAMN16357451,pan_ske_diff,0,6279,234691,0.0,0.0,0.0
SAMN16357451,pan_uni_diff,0,5588,232749,0.0,0.0,0.0
SAMN16357451,pan_ass_diff,0,0,240812,0.0,0.0,0.0
SAMN16357456,pangenome_mix,232495,20745,17277,0.918,0.931,0.924
SAMN16357456,pangenome_skes,225788,27452,15339,0.892,0.936,0.913
SAMN16357456,pangenome_uni,228986,24254,11053,0.904,0.954,0.928
SAMN16357456,skesa,242107,88916,13217,0.731,0.948,0.826
SAMN16357456,unicycler,247056,396575,4124,0.384,0.984,0.552
SAMN16357456,pan_ske_diff,2207,20137,238920,0.099,0.009,0.017
SAMN16357456,pan_uni_diff,1935,7466,238104,0.206,0.008,0.016
SAMN16357456,pan_ass_diff,2031,522,247741,0.796,0.008,0.016
SAMN16357460,pangenome_mix,0,3673,0,0.0,0.0,0.0
SAMN16357460,pangenome_skes,0,3673,0,0.0,0.0,0.0
SAMN16357460,pangenome_uni,0,3673,0,0.0,0.0,0.0
SAMN16357460,skesa,0,0,0,0.0,0.0,0.0
SAMN16357460,unicycler,0,0,0,0.0,0.0,0.0
SAMN16357460,pan_ske_diff,0,3673,0,0.0,0.0,0.0
SAMN16357460,pan_uni_diff,0,3673,0,0.0,0.0,0.0
SAMN16357460,pan_ass_diff,0,3673,0,0.0,0.0,0.0
SAMN16357458,pangenome_mix,202962,5883,5243,0.972,0.975,0.973
SAMN16357458,pangenome_skes,199716,9129,4738,0.956,0.977,0.966
SAMN16357458,pangenome_uni,199692,9153,4576,0.956,0.978,0.967
SAMN16357458,skesa,205498,0,4071,1.0,0.981,0.99
SAMN16357458,unicycler,205312,179055,4071,0.534,0.981,0.692
SAMN16357458,pan_ske_diff,0,4014,204454,0.0,0.0,0.0
SAMN16357458,pan_uni_diff,0,4038,204268,0.0,0.0,0.0
SAMN16357458,pan_ass_diff,0,0,208205,0.0,0.0,0.0
SAMN16357467,pangenome_mix,149326,10110,6869,0.937,0.956,0.946
SAMN16357467,pangenome_skes,146588,12848,5941,0.919,0.961,0.94
SAMN16357467,pangenome_uni,147152,12284,5095,0.923,0.967,0.944
SAMN16357467,skesa,109961,0,49397,1.0,0.69,0.817
SAMN16357467,unicycler,152100,401230,8150,0.275,0.949,0.426
SAMN16357467,pan_ske_diff,43761,6019,108768,0.879,0.287,0.433
SAMN16357467,pan_uni_diff,3982,4282,148265,0.482,0.026,0.05
SAMN16357467,pan_ass_diff,0,0,156195,0.0,0.0,0.0
